bps_kode_provinsi,bps_nama_provinsi,tahun,indeks_pembangunan_manusia,satuan
61,Kalimantan Barat,2022,69.71,Point
62,Kalimantan Tengah,2022,73.17,Point
63,Kalimantan Selatan,2022,74.0,Point
64,Kalimantan Timur,2022,77.36,Point
65,Kalimantan Utara,2022,72.21,Point
71,Sulawesi Utara,2022,74.52,Point
72,Sulawesi Tengah,2022,71.01,Point
73,Sulawesi Selatan,2022,73.96,Point
74,Sulawesi Tenggara,2022,72.38,Point
75,Gorontalo,2022,70.62,Point
76,Sulawesi Barat,2022,69.19,Point
81,Maluku,2022,72.04,Point
82,Maluku Utara,2022,70.26,Point
91,Papua Barat,2022,66.03,Point
92,Papua Barat Daya,2022,68.6,Point
94,Papua,2022,72.57,Point
93,Papua Selatan,2022,67.39,Point
94,Papua Tengah,2022,58.76,Point
95,Papua Pegunungan,2022,52.69,Point
11,Aceh,2023,74.7,Point
12,Sumatra Utara,2023,75.13,Point
13,Sumatra Barat,2023,75.64,Point
14,Riau,2023,74.95,Point
15,Jambi,2023,73.73,Point
16,Sumatra Selatan,2023,73.18,Point
17,Bengkulu,2023,74.3,Point
18,Lampung,2023,72.48,Point
19,Kepulauan Bangka Belitung,2023,74.09,Point
21,Kepulauan Riau,2023,79.08,Point
31,DKI Jakarta,2023,83.55,Point
32,Jawa Barat,2023,74.24,Point
33,Jawa Tengah,2023,73.39,Point
34,DI Yogyakarta,2023,81.09,Point
35,Jawa Timur,2023,74.65,Point
36,Banten,2023,75.77,Point
51,Bali,2023,78.01,Point
52,Nusa Tenggara Barat,2023,72.37,Point
53,Nusa Tenggara Timur,2023,68.4,Point
61,Kalimantan Barat,2023,70.47,Point
62,Kalimantan Tengah,2023,73.73,Point
63,Kalimantan Selatan,2023,74.66,Point
64,Kalimantan Timur,2023,78.2,Point
65,Kalimantan Utara,2023,72.88,Point
71,Sulawesi Utara,2023,75.04,Point
72,Sulawesi Tengah,2023,71.66,Point
73,Sulawesi Selatan,2023,74.6,Point
74,Sulawesi Tenggara,2023,72.94,Point
75,Gorontalo,2023,71.25,Point
76,Sulawesi Barat,2023,69.8,Point
81,Maluku,2023,72.75,Point
82,Maluku Utara,2023,70.98,Point
91,Papua Barat,2023,66.84,Point
92,Papua Barat Daya,2023,69.07,Point
94,Papua,2023,73.23,Point
93,Papua Selatan,2023,68.24,Point
94,Papua Tengah,2023,59.44,Point
95,Papua Pegunungan,2023,53.45,Point
11,Aceh,2024,75.36,Point
12,Sumatra Utara,2024,75.76,Point
13,Sumatra Barat,2024,76.43,Point
14,Riau,2024,75.67,Point
15,Jambi,2024,74.36,Point
16,Sumatra Selatan,2024,73.84,Point
17,Bengkulu,2024,74.91,Point
18,Lampung,2024,73.13,Point
19,Kepulauan Bangka Belitung,2024,74.55,Point
21,Kepulauan Riau,2024,79.89,Point
31,DKI Jakarta,2024,84.15,Point
32,Jawa Barat,2024,74.92,Point
33,Jawa Tengah,2024,73.87,Point
34,DI Yogyakarta,2024,81.62,Point
35,Jawa Timur,2024,75.35,Point
36,Banten,2024,76.35,Point
51,Bali,2024,78.63,Point
52,Nusa Tenggara Barat,2024,73.1,Point
53,Nusa Tenggara Timur,2024,69.14,Point
61,Kalimantan Barat,2024,71.19,Point
62,Kalimantan Tengah,2024,74.28,Point
63,Kalimantan Selatan,2024,75.19,Point
64,Kalimantan Timur,2024,78.79,Point
65,Kalimantan Utara,2024,73.41,Point
71,Sulawesi Utara,2024,75.68,Point
72,Sulawesi Tengah,2024,72.24,Point
73,Sulawesi Selatan,2024,75.18,Point
74,Sulawesi Tenggara,2024,73.62,Point
75,Gorontalo,2024,72.01,Point
76,Sulawesi Barat,2024,70.46,Point
81,Maluku,2024,73.4,Point
82,Maluku Utara,2024,71.84,Point
91,Papua Barat,2024,67.69,Point
92,Papua Barat Daya,2024,69.65,Point
94,Papua,2024,73.83,Point
93,Papua Selatan,2024,68.86,Point
94,Papua Tengah,2024,60.25,Point
95,Papua Pegunungan,2024,54.43,Point
